Date,Primary Type,Location Description,Arrest,Community Area,Latitude,Longitude
2019-01-01 00:10:00,CRIMINAL DAMAGE,RESIDENCE,False,60,41.834881119,-87.653502925
2019-01-01 00:11:00,ASSAULT,STREET,False,25,41.890145275,-87.754202117
2019-01-01 00:11:00,CRIMINAL TRESPASS,SIDEWALK,True,31,41.857068095,-87.657625201
2019-01-01 00:14:00,WEAPONS VIOLATION,ALLEY,True,67,41.775037102,-87.67622713600002
2019-01-01 00:15:00,CRIMINAL DAMAGE,STREET,False,26,41.873330646,-87.72540985299999
2019-01-01 00:15:00,CRIMINAL DAMAGE,RESIDENCE,False,25,41.873957763,-87.753819541
2019-01-01 00:15:00,MOTOR VEHICLE THEFT,STREET,False,32,41.874499513,-87.631981584
2019-01-01 00:20:00,ASSAULT,RESIDENCE,True,66,41.774607973,-87.689619995
2019-01-01 00:20:00,WEAPONS VIOLATION,RESIDENCE,True,71,41.747617457,-87.66458244200001
2019-01-01 00:20:00,CRIMINAL DAMAGE,RESIDENCE,False,46,41.749429163,-87.560132729
2019-01-01 00:25:00,WEAPONS VIOLATION,ALLEY,False,67,41.771423151,-87.670068676
2019-01-01 00:25:00,BATTERY,OTHER,False,6,41.940292114,-87.63870036200001
2019-01-01 00:26:00,CRIMINAL DAMAGE,SIDEWALK,False,8,41.888057631,-87.62954530799999
2019-01-01 00:28:00,PUBLIC PEACE VIOLATION,BAR OR TAVERN,True,19,41.931265251,-87.766924444
2019-01-01 00:29:00,BATTERY,STREET,True,1,42.00370451,-87.659317195
2019-01-01 00:30:00,CRIMINAL DAMAGE,APARTMENT,False,43,41.760623978000005,-87.58260201799999
2019-01-01 00:30:00,CRIMINAL DAMAGE,RESIDENCE,False,23,41.90916816,-87.73017647100002
2019-01-01 00:30:00,MOTOR VEHICLE THEFT,STREET,False,46,41.75108588,-87.57109600700001
2019-01-01 00:30:00,CRIMINAL DAMAGE,STREET,False,50,41.717611221,-87.60069167799999
2019-01-01 00:30:00,CRIMINAL DAMAGE,RESIDENCE,False,43,41.755940509,-87.58951381
2019-01-01 00:30:00,BATTERY,OTHER,False,3,41.969046206,-87.658064717
2019-01-01 00:30:00,OTHER OFFENSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,64,41.780850529,-87.771608534
2019-01-01 00:31:00,CRIMINAL DAMAGE,RESTAURANT,False,14,41.968444497,-87.70934173799999
2019-01-01 00:35:00,WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,False,47,41.725888209000004,-87.59215377
2019-01-01 00:36:00,BATTERY,APARTMENT,True,28,41.869332166,-87.687190946
2019-01-01 00:42:00,CRIMINAL DAMAGE,STREET,False,24,41.908415803000004,-87.69506649700001
2019-01-01 00:44:00,WEAPONS VIOLATION,ALLEY,True,30,41.840075191,-87.72686969700001
2019-01-01 00:45:00,WEAPONS VIOLATION,SIDEWALK,True,23,41.889982289,-87.71453517
2019-01-01 00:45:00,CRIMINAL DAMAGE,STREET,False,22,41.920356292,-87.70008432799999
2019-01-01 00:45:00,CRIM SEXUAL ASSAULT,RESIDENCE,False,67,41.762247802,-87.67224876700001
2019-01-01 00:45:00,ROBBERY,SIDEWALK,False,45,41.747354376,-87.58709541299999
2019-01-01 00:48:00,BURGLARY,CONVENIENCE STORE,True,67,41.769916749000004,-87.66395497799999
2019-01-01 00:49:00,BATTERY,RESIDENTIAL YARD (FRONT/BACK),False,16,41.957296608,-87.72813827
2019-01-01 00:50:00,BURGLARY,RESTAURANT,False,23,41.910064005,-87.710865831
2019-01-01 00:50:00,BATTERY,HOTEL/MOTEL,False,32,41.886337253,-87.620687893
2019-01-01 00:57:00,PUBLIC PEACE VIOLATION,RESIDENCE PORCH/HALLWAY,True,16,41.952588198,-87.732443591
2019-01-01 00:59:00,CRIMINAL TRESPASS,BAR OR TAVERN,False,6,41.948588347,-87.657633691
2019-01-01 01:00:00,CRIMINAL DAMAGE,APARTMENT,False,25,41.879337075,-87.758302255
2019-01-01 01:00:00,THEFT,RESTAURANT,False,6,41.946076436,-87.655609079
2019-01-01 01:00:00,BATTERY,SIDEWALK,True,8,41.898003488,-87.62877127899998
2019-01-01 01:00:00,THEFT,BAR OR TAVERN,False,7,41.922750548,-87.64499406200001
2019-01-01 01:00:00,THEFT,APARTMENT,False,22,41.916147050999996,-87.686373566
2019-01-01 01:00:00,THEFT,RESTAURANT,False,8,41.893676841,-87.631176812
2019-01-01 01:00:00,CRIM SEXUAL ASSAULT,RESIDENCE,False,8,41.892659230999996,-87.61659957100002
2019-01-01 01:03:00,WEAPONS VIOLATION,STREET,True,46,41.742776749,-87.55603164200001
2019-01-01 01:05:00,CRIMINAL DAMAGE,STREET,False,70,41.740760078,-87.739101656
2019-01-01 01:13:00,BATTERY,RESIDENCE,False,68,41.775331616,-87.642690251
2019-01-01 01:14:00,BATTERY,RESIDENTIAL YARD (FRONT/BACK),True,25,41.902228636,-87.75756794200001
2019-01-01 01:14:00,BATTERY,APARTMENT,True,25,41.902228636,-87.75756794200001
2019-01-01 01:16:00,DECEPTIVE PRACTICE,OTHER,True,54,41.675253432,-87.601695694
2019-01-01 01:20:00,WEAPONS VIOLATION,STREET,True,58,41.815617293,-87.68987715899998
2019-01-01 01:20:00,LIQUOR LAW VIOLATION,RESTAURANT,True,8,41.89005498,-87.62857583799999
2019-01-01 01:20:00,THEFT,SMALL RETAIL STORE,False,35,41.832329279,-87.61698314600002
2019-01-01 01:20:00,BURGLARY,RESIDENCE,False,69,41.759801299,-87.600549177
2019-01-01 01:22:00,ASSAULT,SIDEWALK,True,44,41.748772882,-87.60026417700001
2019-01-01 01:25:00,BATTERY,STREET,False,29,41.866491504,-87.697451501
2019-01-01 01:26:00,CRIMINAL DAMAGE,STREET,False,23,41.899593359,-87.72132965899998
2019-01-01 01:29:00,BATTERY,SIDEWALK,False,8,41.889203826,-87.631640804
2019-01-01 01:30:00,THEFT,HOTEL/MOTEL,False,32,41.875272573000004,-87.62425131399998
2019-01-01 01:30:00,BATTERY,HOTEL/MOTEL,False,33,41.851949553000004,-87.618995915
2019-01-01 01:30:00,BATTERY,STREET,False,32,41.871799513,-87.63293634700001
2019-01-01 01:36:00,WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,True,68,41.76088615,-87.64186287700001
2019-01-01 01:40:00,BATTERY,BAR OR TAVERN,False,8,41.889203826,-87.631640804
2019-01-01 01:43:00,BURGLARY,RESTAURANT,False,28,41.880145109000004,-87.641140471
2019-01-01 01:45:00,CRIMINAL DAMAGE,RESIDENCE,False,23,41.906977365,-87.719135778
2019-01-01 01:45:00,ROBBERY,SIDEWALK,False,41,41.794425821,-87.583931265
2019-01-01 01:45:00,BATTERY,OTHER,True,8,41.893893173,-87.615127644
